Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
12-Jul-2023,EQ,31.8,32.6,31.75,31.7,31.95,32.0,32.14,36.25,15.7,"4,93,44,836","1,58,58,51,701.35","31,425"
11-Jul-2023,EQ,31.7,32.0,31.1,31.55,31.7,31.7,31.62,36.25,15.7,"2,67,14,838","84,47,77,882.35","21,629"
10-Jul-2023,EQ,32.2,32.8,31.3,32.0,31.5,31.55,32.01,36.25,15.7,"4,98,76,156","1,59,63,22,200.70","27,753"
07-Jul-2023,EQ,32.05,32.75,31.35,32.3,32.0,32.0,31.98,36.25,15.45,"5,89,79,153","1,88,61,94,001.90","35,877"
06-Jul-2023,EQ,31.0,32.5,30.9,30.9,32.15,32.3,31.91,36.25,15.45,"8,30,84,438","2,65,11,28,598.10","52,104"
05-Jul-2023,EQ,30.7,31.45,30.15,30.55,30.85,30.9,30.88,36.25,15.45,"6,86,21,373","2,11,88,14,086.60","41,381"
04-Jul-2023,EQ,30.25,30.75,29.4,29.95,30.65,30.55,30.3,36.25,15.45,"7,29,68,823","2,21,07,11,925.70","40,851"
03-Jul-2023,EQ,29.15,30.4,29.1,28.9,29.95,29.95,29.82,36.25,15.45,"6,27,46,713","1,87,11,86,827.85","32,074"
30-Jun-2023,EQ,28.55,29.1,28.2,28.45,28.95,28.9,28.68,36.25,15.4,"3,29,12,257","94,39,67,891.45","17,860"
28-Jun-2023,EQ,27.6,28.8,27.35,27.45,28.45,28.45,28.14,36.25,15.4,"2,00,62,054","56,45,95,316.20","16,517"
27-Jun-2023,EQ,27.25,27.55,27.2,27.1,27.45,27.45,27.36,36.25,15.4,"76,03,284","20,80,55,446.65","7,872"
26-Jun-2023,EQ,27.0,27.3,26.8,27.15,27.15,27.1,27.03,36.25,15.4,"1,03,00,063","27,83,80,396.20","11,350"
23-Jun-2023,EQ,27.75,27.8,27.0,27.7,27.2,27.15,27.19,36.25,15.0,"1,23,77,551","33,65,56,020.90","13,268"
22-Jun-2023,EQ,28.15,28.3,27.65,28.15,27.7,27.7,27.88,36.25,15.0,"88,05,824","24,55,45,040.75","9,916"
21-Jun-2023,EQ,28.1,28.35,27.9,27.9,28.1,28.15,28.11,36.25,15.0,"1,29,78,175","36,47,71,095.25","17,507"
20-Jun-2023,EQ,27.9,28.1,27.55,27.9,27.9,27.9,27.83,36.25,15.0,"1,40,10,647","38,99,22,190.90","20,819"
19-Jun-2023,EQ,27.9,28.3,27.7,27.8,27.95,27.9,27.97,36.25,15.0,"1,50,09,633","41,98,67,916.40","22,315"
